[INFO 7:11:41 PM] miguelsolorio.symbols activated
[INFO 7:11:41 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:11:41 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:11:41 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:11:42 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:11:42 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:11:42 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:11:52 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:11:52 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:11:52 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:12:04 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:12:04 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:12:04 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:12:07 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:12:07 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:12:07 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:12:45 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:12:45 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:12:45 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:12:50 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:12:50 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:12:50 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:13:42 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:13:42 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:13:42 PM] 🤖 symbols.files.associations changed, updating to undefined
