[INFO 7:14:08 PM] miguelsolorio.symbols activated
[INFO 7:14:08 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:14:08 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:14:08 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:21:32 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:21:32 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:21:32 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:21:35 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:21:35 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:21:35 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:22:51 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:22:51 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:22:51 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:23:17 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:23:17 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:23:17 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:23:17 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:23:17 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:23:17 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:23:30 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:23:30 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:23:30 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:23:46 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:23:46 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:23:46 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:23:48 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:23:48 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:23:48 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:23:49 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:23:49 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:23:49 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:24:32 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:24:32 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:24:32 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:27:21 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:27:21 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:27:21 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:27:26 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:27:26 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:27:26 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:27:31 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:27:31 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:27:31 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:27:34 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:27:34 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:27:34 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:31:42 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:31:42 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:31:42 PM] 🤖 symbols.files.associations changed, updating to undefined
