[INFO 7:09:19 PM] miguelsolorio.symbols activated
[INFO 7:09:19 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:09:19 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:09:19 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:09:21 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:09:21 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:09:21 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:09:36 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:09:36 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:09:36 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:10:36 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:36 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:10:36 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:10:39 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:39 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:10:39 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:10:45 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:45 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:10:45 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:10:53 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:53 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:10:53 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:10:54 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:54 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:10:54 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:10:56 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:56 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:10:56 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:10:59 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:10:59 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:10:59 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:11:04 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:11:04 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:11:04 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:11:19 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:11:19 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:11:19 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:11:32 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:11:32 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:11:32 PM] 🤖 symbols.files.associations changed, updating to undefined
